PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
LB8tK,6k1/pp2r1p1/2p1p1Qp/3Pp3/1P5P/P4R2/3q2PK/8 b - - 0 26,e6d5 g6d6 e5e4 d6d8 g8h7 f3f8 e7f7 f8f7,1963,84,85,103,advantage endgame fork quietMove veryLong,https://lichess.org/LhGFZWtx/black#52,
2xw0b,r1b3rk/2q4p/p1p1pbp1/4ppN1/6Q1/4B2R/PPP2PPP/4R1K1 w - - 2 22,g5h7 f5g4 h7f6 g4h3,2035,75,84,75,crushing hangingPiece master middlegame short,https://lichess.org/BQqyLuJ4#43,
wsBhA,r2qkb1r/ppp2ppp/5n2/3N2B1/2p1P3/3n1B2/PP2KPPP/R2Q3R b kq - 0 11,f6d5 g5d8 d5f4 e2f1,2058,77,69,76,advantage defensiveMove middlegame short,https://lichess.org/wPfZACex/black#22,Queens_Gambit_Accepted Queens_Gambit_Accepted_Central_Variation
vHmP7,8/K4N2/2k1p3/1p2P2p/2p5/P2n2P1/1P3P1P/8 w - - 1 36,h2h4 d3b2 f7g5 c6d5,2388,91,90,1280,crushing endgame knightEndgame master short,https://lichess.org/lVdiNeQX#71,
EydBb,8/PQp2pkp/3p2pb/2pP4/2P3N1/7P/2q2pP1/5BK1 w - - 0 39,g4f2 h6e3 g1h2 c2f2 b7b1 f2g1,2330,92,90,356,advantage endgame long,https://lichess.org/Oid5h2Sq#77,
uDHYE,r2q1rk1/1b3ppp/pp1bpB2/6NP/2P5/P1P5/1PQKB1n1/R6R b - - 1 19,d6e7 d2c1 g7g6 h5g6 e7f6 g6f7 f8f7 g5f7,2194,75,98,72,advancedPawn advantage defensiveMove kingsideAttack middlegame veryLong,https://lichess.org/KQcpnHUA/black#38,
LFno2,1r1q1k2/3p1Pr1/3b4/p4Q2/4P3/4B1Pp/1PP4P/2KR4 b - - 0 28,d8e7 d1d6 e7d6 e3c5 d6c5 f5c5,1991,76,76,194,crushing long middlegame pin sacrifice,https://lichess.org/qHDZAtJh/black#56,
mqr03,r1bq1r2/1pp1npp1/p3p1k1/4P1N1/3P2QP/2P5/P4PP1/R3K2R b KQ - 3 15,f7f6 g5e6 g6f7 e6d8,2137,78,85,57,crushing discoveredAttack discoveredCheck fork middlegame short,https://lichess.org/kFfu6aK7/black#30,Queens_Gambit_Accepted Queens_Gambit_Accepted_Saduleto_Variation
v7K01,8/p5k1/1p1n3p/7K/2B2P1P/1P6/P7/8 w - - 3 39,c4d5 d6e8 h5g4 e8f6 g4f5 f6d5,2013,74,95,911,crushing endgame fork long quietMove,https://lichess.org/zDi07J4r#77,
GfHdF,4rnR1/1p3Q2/2p1pp2/p2q1k2/8/P7/1PP5/K7 b - - 4 37,e6e5 f7h5 f5e6 h5e8,2049,77,94,1249,advantage endgame fork short,https://lichess.org/3439MeSD/black#74,
